,Record_Number,Region,RESIDENCE_TYPE,Family_Composition,sex,age,Marital_Status,student,Country_Of_Birth,health,Ethnic_Group,religion,Economic_Activity,Occupation,industry,Hours_Worked_Per_Week,Approximate_Social_Grade
17657,17658,S92000003,P,2,2,4,1,2,1,1,1,1,1,9,11,2,4
17658,17659,S92000003,P,4,2,1,1,1,1,1,1,2,X,X,X,X,X
17659,17660,S92000003,P,1,2,1,1,2,1,1,1,1,X,X,X,X,X
17660,17661,S92000003,P,0,2,8,5,2,1,2,1,2,5,9,11,X,4
17661,17662,S92000003,P,4,2,5,4,2,1,4,1,1,9,9,4,X,4
17662,17663,S92000003,P,0,1,8,3,2,1,2,1,2,5,6,8,X,4
17663,17664,S92000003,P,4,1,1,1,1,1,1,1,2,X,X,X,X,X
17664,17665,S92000003,P,0,2,5,1,2,1,2,1,2,8,X,X,X,4
17665,17666,S92000003,P,0,1,7,1,2,1,2,1,2,8,X,X,X,4
17666,17667,S92000003,P,4,1,2,1,2,1,1,1,1,1,8,3,3,3
17667,17668,S92000003,P,4,1,1,1,1,1,2,1,1,X,X,X,X,X
17668,17669,S92000003,P,2,1,3,1,2,1,1,1,1,2,5,1,4,3
17669,17670,S92000003,P,0,2,8,5,2,1,3,1,2,9,1,4,X,4
17670,17671,S92000003,P,1,2,1,1,1,1,1,1,1,X,X,X,X,X
17671,17672,S92000003,P,2,2,3,1,2,1,1,1,1,1,3,4,3,2
17672,17673,S92000003,P,2,2,1,1,1,1,1,1,1,X,X,X,X,X
17673,17674,S92000003,P,1,1,1,1,1,1,1,1,2,X,X,X,X,X
17674,17675,S92000003,P,1,1,7,2,2,1,2,1,2,5,7,4,X,4
17675,17676,S92000003,P,1,1,2,1,2,1,2,1,2,1,9,5,1,1
17676,17677,S92000003,P,2,2,1,1,1,1,2,1,1,X,X,X,X,X
17677,17678,S92000003,P,1,1,2,1,2,1,1,1,1,1,5,4,3,3
17678,17679,S92000003,P,1,1,3,2,2,1,1,1,2,1,2,11,3,2
17679,17680,S92000003,P,1,2,5,2,2,1,2,1,8,2,1,4,2,2
17680,17681,S92000003,P,1,2,4,2,2,1,1,1,1,1,2,8,3,1
17681,17682,S92000003,P,1,1,1,1,1,1,1,1,2,X,X,X,X,X
17682,17683,S92000003,P,2,1,1,1,1,1,1,1,1,X,X,X,X,X
17683,17684,S92000003,P,1,1,1,1,1,1,1,1,1,X,X,X,X,X
17684,17685,S92000003,P,1,2,7,2,2,1,2,1,2,5,7,4,X,3
17685,17686,S92000003,P,1,1,5,2,2,1,3,1,9,1,2,11,3,1
17686,17687,S92000003,P,4,2,6,5,2,1,1,1,1,1,1,11,3,2
17687,17688,S92000003,P,1,1,2,1,2,1,1,1,2,1,5,2,3,2
17688,17689,S92000003,P,1,2,2,1,1,1,1,1,9,4,9,5,1,2
17689,17690,S92000003,P,2,1,5,3,2,1,1,1,2,1,2,4,4,2
17690,17691,S92000003,P,1,2,1,1,1,1,1,1,2,X,X,X,X,X
17691,17692,S92000003,P,1,1,3,2,2,1,1,1,9,1,5,8,3,3
17692,17693,S92000003,P,1,1,2,1,2,1,1,1,1,1,5,2,3,2
17693,17694,S92000003,P,1,1,1,1,1,1,1,1,2,X,X,X,X,X
17694,17695,S92000003,P,1,1,7,2,2,1,1,1,2,2,3,4,4,2
17695,17696,S92000003,P,1,2,5,2,2,1,1,1,2,1,2,6,4,1
17696,17697,S92000003,P,1,1,4,2,2,1,1,1,1,2,5,3,3,3
17697,17698,S92000003,P,0,2,6,1,2,1,2,1,2,1,6,11,2,3
17698,17699,S92000003,P,1,1,6,2,2,1,1,1,2,1,1,13,3,2
17699,17700,S92000003,P,1,1,6,2,2,1,2,1,9,1,5,8,3,3
17700,17701,S92000003,P,1,1,2,1,1,1,1,1,2,6,X,X,X,3
17701,17702,S92000003,P,4,2,1,1,1,1,1,1,2,X,X,X,X,X
17702,17703,S92000003,P,1,1,4,2,2,1,3,1,1,1,8,4,3,2
17703,17704,S92000003,P,1,1,7,2,2,1,3,1,1,5,2,9,X,1
17704,17705,S92000003,P,1,2,4,2,2,2,3,3,7,1,9,5,2,4
17705,17706,S92000003,P,2,2,3,1,2,1,1,1,1,1,1,4,3,3
17706,17707,S92000003,P,4,2,5,1,2,1,1,1,1,2,2,11,2,1
17707,17708,S92000003,P,2,2,3,1,2,1,1,1,1,1,2,8,3,3
17708,17709,S92000003,P,1,1,2,1,1,1,1,1,2,4,7,4,1,2
17709,17710,S92000003,P,1,2,5,2,2,1,4,1,2,1,2,11,2,2
17710,17711,S92000003,P,4,2,2,1,2,1,1,1,2,1,6,13,2,3
17711,17712,S92000003,P,0,2,2,1,1,1,2,1,1,4,9,5,2,2
17712,17713,S92000003,P,0,2,8,5,2,1,2,1,2,5,4,10,X,2
17713,17714,S92000003,P,1,1,2,1,2,1,1,1,2,1,7,4,3,4
17714,17715,S92000003,P,1,1,1,1,1,1,1,1,2,X,X,X,X,X
17715,17716,S92000003,P,1,2,4,2,2,1,1,1,2,1,3,10,3,2
17716,17717,S92000003,P,2,2,4,1,2,1,4,1,2,7,6,11,X,4
17717,17718,S92000003,P,1,1,2,1,2,1,1,1,2,1,3,6,3,1
17718,17719,S92000003,P,1,2,5,2,2,1,2,1,2,1,4,7,2,4
17719,17720,S92000003,P,1,2,5,2,2,1,2,1,2,1,3,10,2,4
17720,17721,S92000003,P,1,2,4,2,2,2,1,3,2,1,6,11,3,1
17721,17722,S92000003,P,1,2,3,2,2,1,1,1,1,1,1,4,3,2
17722,17723,S92000003,P,1,2,4,2,1,1,1,1,1,6,7,6,X,3
17723,17724,S92000003,P,0,2,1,1,1,1,1,1,1,X,X,X,X,X
17724,17725,S92000003,P,0,1,8,2,2,1,3,1,9,5,4,3,X,2
17725,17726,S92000003,P,1,1,4,2,2,1,1,1,2,2,3,10,4,2
17726,17727,S92000003,P,1,2,4,3,2,1,2,1,2,1,6,6,2,1
17727,17728,S92000003,P,4,1,1,1,1,1,1,1,2,X,X,X,X,X
17728,17729,S92000003,P,1,2,1,1,1,1,1,1,9,X,X,X,X,X
17729,17730,S92000003,P,0,2,8,5,2,2,2,1,2,5,9,4,X,4
17730,17731,S92000003,P,0,1,8,5,2,1,3,1,2,5,8,2,X,3
17731,17732,S92000003,P,0,2,8,5,2,1,3,1,2,9,4,11,X,2
17732,17733,S92000003,P,1,1,5,2,2,1,3,1,1,3,5,3,X,4
17733,17734,S92000003,P,1,1,1,1,1,1,1,1,1,X,X,X,X,X
17734,17735,S92000003,P,0,1,4,1,2,2,3,1,9,8,6,12,X,4
17735,17736,S92000003,P,1,1,4,2,2,2,1,1,1,2,2,8,3,1
17736,17737,S92000003,P,1,2,1,1,1,1,1,1,1,X,X,X,X,X
17737,17738,S92000003,P,1,2,5,2,2,1,2,1,1,7,7,4,X,1
17738,17739,S92000003,P,1,2,7,2,2,2,3,1,1,5,2,10,X,1
17739,17740,S92000003,P,1,1,4,1,2,1,3,1,9,7,5,3,X,2
17740,17741,S92000003,P,1,1,8,2,2,1,4,1,2,5,3,2,X,2
17741,17742,S92000003,P,1,2,4,2,2,1,2,1,2,1,1,8,3,2
17742,17743,S92000003,P,1,1,6,2,2,1,3,1,1,1,5,8,3,3
17743,17744,S92000003,P,0,1,7,5,2,1,2,1,2,5,5,6,X,4
17744,17745,S92000003,P,1,2,1,1,2,1,1,1,2,X,X,X,X,X
17745,17746,S92000003,P,0,1,4,1,2,1,1,1,1,3,4,9,X,2
17746,17747,S92000003,P,1,1,2,1,1,1,1,1,2,4,7,4,1,2
17747,17748,S92000003,P,3,1,6,1,2,1,2,1,2,1,3,8,2,3
17748,17749,S92000003,P,1,1,8,2,2,1,3,1,2,5,4,2,X,2
17749,17750,S92000003,P,0,2,8,5,2,1,3,1,9,5,9,10,X,4
17750,17751,S92000003,P,1,1,5,2,2,1,1,1,2,1,5,2,3,3
17751,17752,S92000003,P,1,1,4,2,2,1,1,1,2,2,5,3,3,3
17752,17753,S92000003,P,1,1,8,2,2,1,3,1,2,5,5,13,X,3
17753,17754,S92000003,P,4,2,2,1,2,1,1,1,2,7,9,4,X,4
17754,17755,S92000003,P,1,2,8,2,2,1,3,1,2,5,8,2,X,4
17755,17756,S92000003,P,0,2,5,1,2,1,4,1,2,8,X,X,X,4
17756,17757,S92000003,P,1,2,8,2,2,1,4,1,1,5,9,2,X,3
17757,17758,S92000003,P,2,1,1,1,2,1,2,1,9,X,X,X,X,X
17758,17759,S92000003,P,1,1,3,1,2,1,1,1,1,1,3,3,3,3
17759,17760,S92000003,P,0,2,8,5,2,1,3,1,2,5,4,3,X,2
17760,17761,S92000003,P,0,2,3,1,2,1,1,1,1,1,3,7,3,1
17761,17762,S92000003,P,0,2,8,5,2,1,3,1,2,5,7,4,X,4
17762,17763,S92000003,P,0,2,7,4,2,1,3,1,2,5,8,1,X,4
17763,17764,S92000003,P,1,1,1,1,1,1,2,1,2,X,X,X,X,X
17764,17765,S92000003,P,0,1,3,1,2,1,1,1,2,1,4,7,3,2
17765,17766,S92000003,P,1,1,1,1,1,2,1,4,2,X,X,X,X,X
17766,17767,S92000003,P,0,1,5,1,2,1,2,1,2,1,6,11,3,4
17767,17768,S92000003,P,1,1,3,2,2,1,1,1,2,1,7,4,3,3
17768,17769,S92000003,P,0,1,2,1,1,1,2,1,1,4,X,X,X,2
17769,17770,S92000003,P,0,1,6,4,2,1,3,1,2,5,9,6,X,4
17770,17771,S92000003,P,4,1,1,1,1,1,1,1,2,X,X,X,X,X
17771,17772,S92000003,P,1,2,2,1,1,1,1,1,2,6,X,X,X,1
17772,17773,S92000003,P,0,2,6,1,2,1,4,1,2,8,9,8,X,4
17773,17774,S92000003,P,1,2,6,2,2,1,1,1,1,1,7,4,1,3
17774,17775,S92000003,P,2,2,2,1,2,1,1,1,1,3,6,11,X,4
17775,17776,S92000003,P,0,2,7,4,2,1,2,1,2,1,6,10,2,3
17776,17777,S92000003,P,1,2,6,2,2,1,3,1,2,5,4,11,X,3
17777,17778,S92000003,P,4,2,3,1,2,1,2,1,2,9,X,X,X,4
17778,17779,S92000003,P,4,1,4,4,1,1,1,1,1,6,9,4,X,4
17779,17780,S92000003,P,1,2,3,2,2,1,3,1,1,1,7,4,3,1
17780,17781,S92000003,P,1,1,7,2,2,1,3,1,2,5,5,2,X,2
17781,17782,S92000003,P,0,1,5,1,2,1,2,1,2,1,4,4,3,2
17782,17783,S92000003,P,1,1,3,2,2,1,1,1,1,3,7,4,X,2
17783,17784,S92000003,P,4,2,6,4,2,1,2,1,2,5,1,4,X,2
17784,17785,S92000003,P,4,2,8,5,2,1,5,1,2,9,9,2,X,4
17785,17786,S92000003,P,0,2,7,5,2,1,3,1,2,5,4,6,X,2
17786,17787,S92000003,P,0,1,3,1,2,1,1,1,1,1,9,4,3,4
17787,17788,S92000003,P,2,2,4,1,2,1,1,1,2,1,4,8,3,2
17788,17789,S92000003,P,1,1,7,2,2,1,5,1,2,8,8,10,X,4
17789,17790,S92000003,P,2,2,4,4,2,1,2,1,1,1,1,6,2,1
17790,17791,S92000003,P,1,2,6,2,2,1,1,1,2,5,3,7,X,4
17791,17792,S92000003,P,1,1,1,1,1,1,1,1,2,X,X,X,X,X
17792,17793,S92000003,P,1,2,8,2,2,1,3,1,2,5,4,4,X,2
17793,17794,S92000003,P,0,2,7,5,2,1,2,1,2,5,2,11,X,1
17794,17795,S92000003,P,1,2,3,2,2,1,1,1,2,2,6,11,3,2
17795,17796,S92000003,P,1,2,5,2,2,1,1,1,2,1,4,7,3,4
17796,17797,S92000003,P,1,2,3,1,2,1,1,1,2,1,4,13,3,3
17797,17798,S92000003,P,0,2,2,1,2,1,1,1,2,1,9,5,3,4
17798,17799,S92000003,P,2,1,5,4,2,1,2,1,2,1,1,12,3,2
17799,17800,S92000003,P,4,1,1,1,1,1,1,1,1,X,X,X,X,X
17800,17801,S92000003,P,1,1,7,2,2,1,5,1,2,5,9,3,X,4
17801,17802,S92000003,P,1,1,7,2,2,1,2,1,2,5,8,6,X,3
17802,17803,S92000003,P,2,1,3,1,2,2,1,1,2,1,9,5,3,4
17803,17804,S92000003,P,2,2,3,3,2,1,2,1,2,1,1,7,3,1
17804,17805,S92000003,P,1,2,4,2,2,1,1,1,2,1,1,7,2,1
17805,17806,S92000003,P,1,1,3,1,2,1,1,1,2,1,8,2,3,3
17806,17807,S92000003,P,1,1,3,1,2,1,1,1,2,1,3,7,3,1
17807,17808,S92000003,P,1,2,4,1,2,1,2,1,2,1,4,4,3,2
17808,17809,S92000003,P,1,2,6,2,2,1,2,1,2,7,7,4,X,1
17809,17810,S92000003,P,1,2,1,1,1,1,1,1,2,X,X,X,X,X
17810,17811,S92000003,P,1,2,6,2,2,1,1,1,2,1,4,2,3,3
17811,17812,S92000003,P,1,1,5,2,2,1,1,1,2,1,8,2,3,4
17812,17813,S92000003,P,4,2,1,1,1,1,1,1,1,X,X,X,X,X
17813,17814,S92000003,P,2,1,5,4,2,1,2,1,1,1,9,13,3,4
17814,17815,S92000003,P,1,1,1,1,1,1,1,1,2,X,X,X,X,X
17815,17816,S92000003,P,4,2,1,1,1,2,1,1,2,X,X,X,X,X
17816,17817,S92000003,P,0,1,8,1,2,1,1,1,1,1,9,4,3,4
17817,17818,S92000003,P,1,2,3,2,2,2,1,3,4,1,4,11,2,1
17818,17819,S92000003,P,1,1,3,1,2,1,1,1,2,1,7,6,3,3
17819,17820,S92000003,P,2,2,4,1,2,1,1,1,2,1,6,11,3,3
17820,17821,S92000003,P,0,1,4,1,2,1,2,1,1,1,2,8,3,2
17821,17822,S92000003,P,0,2,8,5,2,1,3,1,2,5,9,2,X,4
17822,17823,S92000003,P,4,2,1,1,1,1,1,1,2,X,X,X,X,X
17823,17824,S92000003,P,1,1,7,2,2,1,3,1,2,5,5,6,X,3
17824,17825,S92000003,P,1,2,5,2,2,1,4,1,2,1,3,11,3,2
17825,17826,S92000003,P,2,1,4,1,2,1,2,1,1,1,5,2,4,3
17826,17827,S92000003,P,1,2,2,1,1,1,1,1,2,4,7,8,2,2
17827,17828,S92000003,P,1,1,7,2,2,1,2,1,2,5,9,8,X,4
17828,17829,S92000003,P,1,1,2,1,2,1,4,1,2,8,X,X,X,4
17829,17830,S92000003,P,1,2,5,2,2,1,2,1,2,1,4,4,3,4
17830,17831,S92000003,P,1,1,8,2,2,1,3,1,2,5,3,9,X,4
17831,17832,S92000003,P,0,2,6,4,2,1,3,1,2,1,7,3,3,4
17832,17833,S92000003,P,2,1,4,1,2,1,2,1,2,1,8,6,3,3
17833,17834,S92000003,P,0,2,8,5,2,1,4,1,2,5,9,8,X,4
17834,17835,S92000003,P,0,2,8,1,2,1,2,1,2,5,2,10,X,1
17835,17836,S92000003,P,1,1,7,2,2,1,2,1,9,5,5,3,X,2
17836,17837,S92000003,P,0,2,5,4,2,1,3,1,2,1,4,8,3,2
17837,17838,S92000003,P,1,1,5,2,2,1,4,1,2,8,4,13,X,2
17838,17839,S92000003,P,1,2,6,2,2,1,1,1,2,1,6,11,3,4
17839,17840,S92000003,P,0,2,8,5,2,1,3,1,2,5,4,7,X,2
17840,17841,S92000003,P,1,2,6,2,2,1,3,1,2,7,8,2,X,3
17841,17842,S92000003,P,0,1,4,1,2,2,2,1,2,1,9,8,3,4
17842,17843,S92000003,P,4,2,1,1,2,1,1,1,1,X,X,X,X,X
17843,17844,S92000003,P,1,1,4,2,2,1,1,1,1,1,9,4,4,4
17844,17845,S92000003,P,1,2,6,2,2,1,2,1,1,5,4,2,X,2
17845,17846,S92000003,P,1,2,2,1,1,1,1,1,2,6,X,X,X,1
17846,17847,S92000003,P,4,2,2,1,2,1,1,1,1,1,6,11,3,4
17847,17848,S92000003,P,1,1,8,2,2,1,3,1,2,5,5,3,X,4
17848,17849,S92000003,P,1,1,6,2,2,1,1,1,9,1,8,6,3,3
17849,17850,S92000003,P,1,1,5,2,2,2,1,1,1,1,5,4,3,3
17850,17851,S92000003,P,0,1,4,1,2,1,1,1,2,3,9,8,X,4
17851,17852,S92000003,P,0,2,3,1,2,1,2,1,2,3,9,12,X,4
17852,17853,S92000003,P,1,2,3,2,2,2,1,3,6,1,8,2,3,4
17853,17854,S92000003,P,1,2,6,2,2,1,2,1,2,5,8,2,X,4
17854,17855,S92000003,P,1,2,5,2,2,1,1,1,1,1,2,11,3,2
17855,17856,S92000003,P,4,2,3,4,2,1,1,1,2,1,6,11,2,3
17856,17857,S92000003,P,4,2,3,1,2,1,1,1,2,1,7,7,2,4
17857,17858,S92000003,P,2,2,2,1,2,1,1,1,2,1,2,11,3,3
17858,17859,S92000003,P,0,1,6,1,2,1,3,1,1,1,9,6,3,3
17859,17860,S92000003,P,1,2,1,1,1,1,1,1,1,X,X,X,X,X
17860,17861,S92000003,P,1,1,5,2,2,1,2,1,2,1,8,2,3,3
17861,17862,S92000003,P,5,1,2,1,2,1,1,1,1,1,7,6,3,2
17862,17863,S92000003,P,4,2,4,1,2,1,2,1,1,1,9,5,2,4
17863,17864,S92000003,P,2,1,2,1,2,1,1,1,1,1,1,12,3,1
17864,17865,S92000003,P,1,2,5,2,2,1,2,1,2,1,7,4,3,4
17865,17866,S92000003,P,1,2,1,1,2,2,1,1,9,X,X,X,X,X
17866,17867,S92000003,P,1,2,1,1,2,1,1,3,6,X,X,X,X,X
17867,17868,S92000003,P,0,2,4,1,2,1,2,1,1,1,6,12,3,2
17868,17869,S92000003,P,1,1,5,2,2,1,1,1,9,1,8,2,4,2
17869,17870,S92000003,P,2,1,5,4,2,1,1,1,1,2,5,2,4,1
17870,17871,S92000003,P,0,2,5,4,2,1,1,1,1,1,2,11,3,2
17871,17872,S92000003,P,1,2,4,2,2,1,1,1,9,1,3,10,3,2
17872,17873,S92000003,P,1,2,5,2,2,1,1,1,2,1,2,10,4,4
17873,17874,S92000003,P,0,2,7,4,2,1,3,1,2,5,6,11,X,4
17874,17875,S92000003,P,4,2,4,3,2,1,1,1,2,1,4,9,2,2
17875,17876,S92000003,P,1,1,1,1,2,1,2,3,6,X,X,X,X,X
17876,17877,S92000003,P,1,1,5,2,2,1,3,1,2,1,7,6,2,1
17877,17878,S92000003,P,1,1,7,2,2,1,3,1,2,5,8,6,X,3
17878,17879,S92000003,P,3,1,5,4,2,1,1,1,2,1,5,12,3,3
17879,17880,S92000003,P,1,1,3,1,2,1,2,1,9,1,5,4,3,4
17880,17881,S92000003,P,1,1,3,1,2,1,1,1,9,9,1,5,X,1
17881,17882,S92000003,P,1,1,5,2,2,1,1,1,2,1,6,11,2,2
17882,17883,S92000003,P,0,1,8,4,2,1,3,1,1,5,6,11,X,4
17883,17884,S92000003,P,4,2,5,1,2,1,1,1,2,7,9,11,X,4
17884,17885,S92000003,P,4,2,4,3,2,1,1,1,1,1,2,11,3,1
17885,17886,S92000003,P,1,1,1,1,2,1,2,1,9,X,X,X,X,X
17886,17887,S92000003,P,1,2,1,1,2,1,1,1,1,X,X,X,X,X
17887,17888,S92000003,P,1,2,4,2,2,1,1,1,1,1,6,11,2,3
17888,17889,S92000003,P,0,1,6,4,2,1,2,1,1,1,5,4,4,3
17889,17890,S92000003,P,2,1,3,1,2,1,1,1,1,1,2,10,3,1
17890,17891,S92000003,P,1,1,2,1,2,1,1,1,2,1,7,4,3,3
17891,17892,S92000003,P,0,1,8,5,2,1,2,1,2,5,8,1,X,3
17892,17893,S92000003,P,1,2,2,1,2,1,2,1,1,1,4,9,3,3
17893,17894,S92000003,P,2,1,3,1,2,1,1,1,9,1,5,6,3,3
17894,17895,S92000003,P,2,2,4,1,2,1,1,1,1,1,5,3,3,2
17895,17896,S92000003,C,X,2,2,1,2,1,3,1,1,8,X,X,X,X
17896,17897,S92000003,P,1,2,1,1,2,1,1,3,1,X,X,X,X,X
17897,17898,S92000003,P,0,2,7,5,2,1,2,1,2,5,2,10,X,1
17898,17899,S92000003,P,2,1,2,1,1,1,1,1,2,6,X,X,X,4
17899,17900,S92000003,P,1,1,1,1,1,1,1,1,1,X,X,X,X,X
17900,17901,S92000003,P,0,2,7,5,2,1,4,1,2,5,8,2,X,4
17901,17902,S92000003,P,0,1,3,1,2,1,2,1,2,1,8,11,2,4
17902,17903,S92000003,P,1,1,3,2,2,1,1,1,1,1,2,10,4,1
17903,17904,S92000003,P,4,2,3,1,2,1,2,1,1,1,7,4,2,4
17904,17905,S92000003,P,4,2,2,1,1,1,1,1,1,6,X,X,X,2
17905,17906,S92000003,P,3,2,6,1,2,1,1,1,2,1,2,10,4,2
17906,17907,S92000003,P,1,2,7,2,2,1,1,1,2,5,9,4,X,3
17907,17908,S92000003,P,0,1,5,1,2,1,2,1,2,8,5,3,X,3
17908,17909,S92000003,P,1,2,2,2,2,1,1,1,1,7,X,X,X,4
17909,17910,S92000003,P,0,2,7,5,2,1,4,1,2,5,3,8,X,2
17910,17911,S92000003,P,0,1,3,1,2,1,1,1,2,3,8,2,X,4
17911,17912,S92000003,P,1,2,6,2,2,1,3,1,2,5,6,11,X,3
17912,17913,S92000003,P,1,1,5,2,2,1,2,1,2,1,4,3,3,4
17913,17914,S92000003,P,4,2,2,1,2,1,1,1,2,3,X,X,X,4
17914,17915,S92000003,P,3,1,5,2,2,1,1,1,2,2,5,1,3,3
17915,17916,S92000003,P,1,1,4,2,2,1,2,1,2,2,1,4,3,2
17916,17917,S92000003,P,1,1,1,1,1,1,1,1,2,X,X,X,X,X
17917,17918,S92000003,P,4,1,1,1,2,1,2,1,2,X,X,X,X,X
17918,17919,S92000003,P,4,1,1,1,2,1,2,1,9,X,X,X,X,X
17919,17920,S92000003,P,1,2,5,2,2,1,2,1,1,1,6,11,2,3
17920,17921,S92000003,P,1,1,7,2,2,1,2,1,1,5,8,2,X,3
17921,17922,S92000003,P,1,2,4,2,2,1,1,1,1,1,2,10,2,1
17922,17923,S92000003,P,4,2,1,1,1,1,1,1,1,X,X,X,X,X
17923,17924,S92000003,P,0,1,2,1,2,1,2,1,1,1,5,1,3,3
17924,17925,S92000003,P,0,2,7,5,2,1,3,1,2,5,4,9,X,2
17925,17926,S92000003,P,1,1,4,2,2,1,1,1,1,1,8,6,1,4
17926,17927,S92000003,P,1,2,8,2,2,2,3,1,2,5,9,4,X,2
17927,17928,S92000003,P,0,2,6,4,2,1,2,1,2,1,4,11,2,2
17928,17929,S92000003,P,1,2,8,2,2,1,1,1,2,5,7,5,X,3
17929,17930,S92000003,P,1,1,6,2,2,1,5,1,2,8,5,4,X,4
17930,17931,S92000003,P,2,2,4,1,2,1,3,1,2,1,7,4,3,3
17931,17932,S92000003,P,0,2,8,5,2,1,2,1,2,5,2,10,X,1
17932,17933,S92000003,P,1,2,3,1,2,1,1,1,2,1,3,6,3,3
17933,17934,S92000003,P,1,1,8,2,2,1,3,1,2,5,3,4,X,2
17934,17935,S92000003,P,1,1,5,2,2,1,2,1,2,1,5,2,3,3
17935,17936,S92000003,P,1,2,5,2,2,1,2,1,2,1,3,11,3,2
17936,17937,S92000003,P,1,1,8,2,2,1,3,1,2,5,1,2,X,1
17937,17938,S92000003,P,1,2,1,1,1,1,1,1,2,X,X,X,X,X
17938,17939,S92000003,P,1,1,5,2,2,1,1,1,2,2,2,8,3,1
17939,17940,S92000003,P,1,1,4,2,2,1,1,1,2,2,8,3,3,4
17940,17941,S92000003,P,1,2,7,2,2,1,2,1,2,7,7,4,X,2
17941,17942,S92000003,P,1,1,5,2,2,1,1,1,2,1,3,9,3,2
17942,17943,S92000003,P,1,1,5,2,2,1,2,1,1,2,2,2,3,1
17943,17944,S92000003,P,1,1,1,1,1,1,1,1,1,X,X,X,X,X
17944,17945,S92000003,P,1,2,4,2,2,1,1,1,2,1,4,4,1,2
17945,17946,S92000003,P,1,2,6,2,2,1,1,1,2,2,8,10,2,4
17946,17947,S92000003,P,1,1,1,1,1,1,2,1,1,X,X,X,X,X
17947,17948,S92000003,P,1,2,6,2,2,1,2,1,2,1,2,10,3,2
17948,17949,S92000003,P,2,1,5,3,2,1,2,1,2,1,1,2,3,1
17949,17950,S92000003,P,4,2,1,1,2,1,1,1,2,X,X,X,X,X
17950,17951,S92000003,P,0,2,6,5,2,1,1,1,1,1,4,4,3,2
17951,17952,S92000003,P,1,2,2,1,2,1,1,1,1,1,4,10,3,2
17952,17953,S92000003,P,1,2,2,1,1,1,1,1,1,6,X,X,X,2
17953,17954,S92000003,P,1,2,5,2,2,1,1,1,1,1,4,4,3,3
17954,17955,S92000003,P,1,2,7,2,2,1,2,1,1,5,7,5,X,1
17955,17956,S92000003,P,1,1,6,2,2,1,1,1,2,1,9,4,3,4
17956,17957,S92000003,P,1,2,1,1,1,1,4,1,2,X,X,X,X,X
17957,17958,S92000003,P,1,1,2,1,2,1,1,1,1,1,9,5,2,2
17958,17959,S92000003,P,0,1,4,3,2,1,2,1,2,1,7,11,3,2
17959,17960,S92000003,P,4,2,2,1,2,1,1,1,1,7,6,11,X,4
17960,17961,S92000003,P,5,2,6,4,2,2,2,1,1,1,8,2,3,4
17961,17962,S92000003,P,1,2,3,2,2,1,2,1,2,1,4,7,1,2
17962,17963,S92000003,P,2,1,2,1,2,1,1,1,1,1,9,11,2,4
17963,17964,S92000003,P,0,2,8,5,2,1,3,1,2,5,4,10,X,2
17964,17965,S92000003,P,0,1,3,1,2,1,3,1,1,1,7,7,3,2
17965,17966,S92000003,P,1,1,5,2,2,1,1,1,2,1,8,4,3,3
17966,17967,S92000003,P,1,1,5,2,2,1,1,1,1,1,5,6,3,3
17967,17968,S92000003,P,0,2,8,5,2,1,2,1,2,5,X,X,X,4
17968,17969,S92000003,P,1,1,2,1,1,1,1,1,2,6,3,8,X,1
17969,17970,S92000003,P,3,2,6,1,2,1,1,1,2,7,4,2,X,2
17970,17971,S92000003,P,2,1,3,1,2,1,1,1,1,3,9,6,X,2
17971,17972,S92000003,P,1,1,5,2,2,1,1,1,2,1,1,4,3,2
17972,17973,S92000003,P,4,2,8,5,2,1,2,1,2,5,9,10,X,4
17973,17974,S92000003,P,2,1,3,1,2,1,1,1,1,1,4,7,3,2
17974,17975,S92000003,P,1,1,5,2,2,1,1,1,2,1,2,10,3,1
17975,17976,S92000003,P,1,1,3,2,2,1,1,1,2,2,1,4,3,2
17976,17977,S92000003,P,1,1,2,1,1,1,1,1,2,6,X,X,X,2
17977,17978,S92000003,P,1,1,6,2,2,1,2,1,2,1,4,8,4,2
17978,17979,S92000003,P,1,1,1,1,1,1,1,1,1,X,X,X,X,X
17979,17980,S92000003,P,1,1,4,2,2,1,3,1,2,1,2,2,3,1
17980,17981,S92000003,P,0,1,5,1,2,1,1,1,1,1,4,6,3,2
17981,17982,S92000003,P,4,2,2,1,1,1,2,1,1,6,X,X,X,3
17982,17983,S92000003,P,1,2,6,2,2,1,1,1,2,1,7,4,2,4
17983,17984,S92000003,P,1,2,6,2,2,1,2,1,1,1,4,7,2,2
17984,17985,S92000003,P,0,2,5,1,2,1,2,1,2,1,2,11,3,1
17985,17986,S92000003,P,1,1,1,1,1,1,1,1,1,X,X,X,X,X
17986,17987,S92000003,P,1,1,3,2,2,1,1,1,1,1,3,2,3,1
17987,17988,S92000003,P,0,1,7,5,2,1,4,1,2,5,4,8,X,2
17988,17989,S92000003,P,1,1,1,1,1,1,1,1,2,X,X,X,X,X
17989,17990,S92000003,P,2,1,8,4,2,1,5,1,1,5,9,6,X,4
17990,17991,S92000003,P,1,2,2,1,2,1,1,1,2,1,4,8,3,4
17991,17992,S92000003,P,4,1,1,1,2,1,1,1,2,X,X,X,X,X
17992,17993,S92000003,P,4,2,2,1,2,1,1,1,1,7,7,10,X,4
17993,17994,S92000003,P,1,1,6,2,2,1,2,1,1,5,5,3,X,4
17994,17995,S92000003,P,0,1,7,5,2,1,3,1,2,5,3,9,X,2
